"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","fulva","Melampsalta fulva Goding & Froggatt, 1904","","Melampsalta","","fulva","","Synonym","synonym","Species","","Goding & Froggatt","1904","Y","00ce0090-78f4-49bb-9869-06f76c3681f0","20250530T00:56:36.273+0000","2b0da88a-660a-4e75-b079-8486aff14961","20250729T23:16:11.865+0000","","f4473092-d037-4ffa-82ce-a22dbd0a5b65","Goding, F.W. & Froggatt, W.W.","1904","Monograph of the Australian Cicadidae","561-670, pls xviii, xix","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null30bf2cf0-4761-423b-9abb-c236e145611a' class='mouseoverHref'>Goding, F.W. & Froggatt, W.W. 1904. Monograph of the Australian Cicadidae.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>29</strong>(3): 561-670, pls xviii, xix<!--MARK-->","","Article in Journal","30bf2cf0-4761-423b-9abb-c236e145611a","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","montrouzieri","Birrima montrouzieri Distant, 1906","","Birrima","","montrouzieri","","Synonym","synonym","Species","","Distant","1906","Y","a90be29b-1438-49c0-8e60-ae098fa336f8","20250530T00:56:36.273+0000","2b0da88a-660a-4e75-b079-8486aff14961","20250729T23:16:11.865+0000","","c593acb1-e494-4201-8250-5b8703a5d376","Distant, W.L.","1906","Some undescribed species of Cicadidae","384-389","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null02e59606-5056-44d2-8c4a-1146c14bef5f' class='mouseoverHref'>Distant, W.L. 1906. Some undescribed species of Cicadidae.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>17</strong>: 384-389<!--MARK-->","","Article in Journal","02e59606-5056-44d2-8c4a-1146c14bef5f","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","castanea","Birrima castanea (Goding & Froggatt, 1904)","","Birrima","","castanea","","Generic Combination","","Species","","Goding & Froggatt","1904","N","c8bfc839-e37b-4cd8-8f9c-6594fb4e55f2","20250530T00:56:36.273+0000","2b0da88a-660a-4e75-b079-8486aff14961","20250729T23:16:11.865+0000","","2a56d9d0-9efc-41ff-88ec-0a12c04377c7","Burns, A.N.","1957","Checklist of Australian Cicadidae","609-678","","Entomologischen Arbeiten aus dem Museum Georg Frey","","","","<!--MARK--><a href='nulla7f0853e-4d35-4719-b576-90ac1448c084' class='mouseoverHref'>Burns, A.N. 1957. Checklist of Australian Cicadidae.</a> <!--MARK--><!--MARK--><a href='nulld9967b1d-fa66-4d5e-9c04-910b53ebb9b3' class='mouseoverHref'><em>Entomologischen Arbeiten aus dem Museum Georg Frey</em></a> <strong>8</strong>(2): 609-678<!--MARK-->","","Article in Journal","a7f0853e-4d35-4719-b576-90ac1448c084","20081009T05:11:37.000+0000","d9967b1d-fa66-4d5e-9c04-910b53ebb9b3"
"","","castanea","Cicadetta castanea (Goding & Froggatt, 1904)","","Cicadetta","","castanea","","Generic Combination","","Species","","Goding & Froggatt","1904","N","c8f81db2-5bd3-429c-940a-329ec0735785","20250530T00:56:36.273+0000","2b0da88a-660a-4e75-b079-8486aff14961","20250729T23:16:11.865+0000","","1b80c60a-1bab-46a0-87e8-aad9c364f5dc","Metcalf, Z.P.","1963","General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts","1411","","","","","University of North Carolina State College","<!--MARK--><a href='null6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95' class='mouseoverHref'>Metcalf, Z.P. 1963. <em>General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts</em>. Raleigh : University of North Carolina State College 1411 pp.</a><!--MARK-->","","Book","6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95","20081009T05:11:37.000+0000",""
"","","fulva","Cicadetta fulva (Goding & Froggatt, 1904)","","Cicadetta","","fulva","","Generic Combination","","Species","","Goding & Froggatt","1904","N","9ea888bc-5571-42da-9787-5709b0ec8270","20250530T00:56:36.273+0000","2b0da88a-660a-4e75-b079-8486aff14961","20250729T23:16:11.865+0000","","24013b4b-68a4-4c23-8e4d-abc33a3f8227","Metcalf, Z.P.","1963","General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts","1411","","","","","University of North Carolina State College","<!--MARK--><a href='null6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95' class='mouseoverHref'>Metcalf, Z.P. 1963. <em>General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts</em>. Raleigh : University of North Carolina State College 1411 pp.</a><!--MARK-->","","Book","6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95","20081009T05:11:37.000+0000",""
"","","montrouzieri","Cicadetta montrouzieri (Distant, 1906)","","Cicadetta","","montrouzieri","","Generic Combination","","Species","","Distant","1906","N","c54edc89-53ad-4424-aceb-72e7c7a128b3","20250530T00:56:36.273+0000","2b0da88a-660a-4e75-b079-8486aff14961","20250729T23:16:11.865+0000","","20848cb4-6064-4b21-9d7a-3e54aaf55ca7","Kirkaldy, G.W.","1907","Leafhoppers -- Supplement (Hemiptera)","1-186","","Bulletin of the Hawaiian Sugar Planters' Association Experimental Station Entomological Series","","","","<!--MARK--><a href='null9c606d89-aa48-4eb6-8dac-9e4ba42a128d' class='mouseoverHref'>Kirkaldy, G.W. 1907. Leafhoppers -- Supplement (Hemiptera).</a> <!--MARK--><!--MARK--><a href='null434303ef-012d-4278-bb03-dfca5d1e6fec' class='mouseoverHref'><em>Bulletin of the Hawaiian Sugar Planters' Association Experimental Station Entomological Series</em></a> <strong>3</strong>: 1-186<!--MARK-->","","Article in Journal","9c606d89-aa48-4eb6-8dac-9e4ba42a128d","20081009T05:11:37.000+0000","434303ef-012d-4278-bb03-dfca5d1e6fec"
"","","varians","Birrima varians (Germar, 1834)","CICADIDAE","Birrima","","varians","","Valid Name","","Species","","Germar","1834","N","eded0175-851c-472c-8fe0-a0619a125d4d","20250530T00:56:36.273+0000","58583428-09d2-4b2c-aabb-06b77b05d1be","20250729T23:16:11.865+0000","e8082e4f-35b2-48b6-8499-945563f317db","58583428-09d2-4b2c-aabb-06b77b05d1be","","","","","","","","","","","","","","",""
"","","Black Treeticker","","","","","","","Common Name","","Species","","","","","b92d38c3-817a-44ca-9821-376f350a650f","20250530T00:56:36.273+0000","58583428-09d2-4b2c-aabb-06b77b05d1be","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","varians","Cicada varians Germar, 1834","","Cicada","","varians","","Synonym","synonym","Species","","Germar","1834","Y","953576fe-2921-4e3e-8b6f-12215e428dee","20250530T00:56:36.273+0000","58583428-09d2-4b2c-aabb-06b77b05d1be","20250729T23:16:11.865+0000","","65d7fc05-9957-4b2c-9a62-f9e074a60cb9","Germar, E.F.","1834","Observations sur plusieurs espèces du genre <i>Cicada</i>, Latr","49-82, pls 19-26","","Revue Entomologique (Silbermann)","","","","<!--MARK--><a href='null77b6cb24-72d6-4374-b307-73eeb7f91f4d' class='mouseoverHref'>Germar, E.F. 1834. Observations sur plusieurs espèces du genre <i>Cicada</i>, Latr.</a> <!--MARK--><!--MARK--><a href='nulle4f2d7f8-bf37-493f-a583-7b1f0531e943' class='mouseoverHref'><em>Revue Entomologique (Silbermann)</em></a> <strong>2</strong>: 49-82, pls 19-26<!--MARK-->","","Article in Journal","77b6cb24-72d6-4374-b307-73eeb7f91f4d","20131119T03:17:40.034+0000","e4f2d7f8-bf37-493f-a583-7b1f0531e943"
"","","Brevia","Brevia Moulds & Marshall, 2025","","Brevia","","","","Valid Name","","Genus","","Moulds & Marshall","2025","Y","6a74a6c2-52a0-46b4-89cf-4515ba2dc872","20250530T03:41:09.267+0000","cd2d10ad-7bd1-4961-992a-549cac14399b","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","cd2d10ad-7bd1-4961-992a-549cac14399b","","","","","","","","","","","","","","",""
"","","Brevia","Brevia Moulds & Marshall, 2025","","Brevia","","","","Synonym","synonym","Genus","","Moulds & Marshall","2025","Y","cbac6e3a-c31d-4d46-a8b9-ff13fa70cee5","20250530T03:43:27.018+0000","cd2d10ad-7bd1-4961-992a-549cac14399b","20250729T23:16:11.865+0000","","7f3ae563-fda6-43a3-8e38-28e28a27c72a","Moulds, M.S., Marshall, D.C.","2025","New genera and species of cicadas from arid Australia (Hemiptera: Cicadoidea: Cicadidae)","1-40","","Megataxa","","15 March 2025","","<!--MARK--><a href='null0ec24502-8041-4d65-9db2-f7e1d9948cc0' class='mouseoverHref'>Moulds, M.S., Marshall, D.C. 2025. New genera and species of cicadas from arid Australia (Hemiptera: Cicadoidea: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null3f2b869c-d0be-4e4e-9926-fe506be25e81' class='mouseoverHref'><em>Megataxa</em></a> <strong>17</strong>(1): 1-40<!--MARK--> [Date published 15 March 2025]","","Article in Journal","0ec24502-8041-4d65-9db2-f7e1d9948cc0","20250530T01:10:17.902+0000","3f2b869c-d0be-4e4e-9926-fe506be25e81"
"","","bullula","Brevia bullula Moulds & Marshall, 2025","","Brevia","","bullula","","Valid Name","","Species","","Moulds & Marshall","2025","Y","8eb0fe41-1356-485a-b774-09c4558f4c96","20250530T03:49:39.008+0000","5d0e7912-873f-4a2d-bfda-6d15e29acf73","20250729T23:16:11.865+0000","cd2d10ad-7bd1-4961-992a-549cac14399b","5d0e7912-873f-4a2d-bfda-6d15e29acf73","","","","","","","","","","","","","","",""
"","","bullula","Brevia bullula Moulds & Marshall, 2025","","Brevia","","bullula","","Synonym","synonym","Species","","Moulds & Marshall","2025","Y","3f2012bc-52fb-4c3d-a6b0-4ccc824d4ac0","20250530T03:47:55.315+0000","5d0e7912-873f-4a2d-bfda-6d15e29acf73","20250729T23:16:11.865+0000","","80c90cbb-6ceb-46d7-922a-f06e4b96117f","Moulds, M.S., Marshall, D.C.","2025","New genera and species of cicadas from arid Australia (Hemiptera: Cicadoidea: Cicadidae)","1-40","","Megataxa","","15 March 2025","","<!--MARK--><a href='null0ec24502-8041-4d65-9db2-f7e1d9948cc0' class='mouseoverHref'>Moulds, M.S., Marshall, D.C. 2025. New genera and species of cicadas from arid Australia (Hemiptera: Cicadoidea: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null3f2b869c-d0be-4e4e-9926-fe506be25e81' class='mouseoverHref'><em>Megataxa</em></a> <strong>17</strong>(1): 1-40<!--MARK--> [Date published 15 March 2025]","","Article in Journal","0ec24502-8041-4d65-9db2-f7e1d9948cc0","20250530T01:10:17.902+0000","3f2b869c-d0be-4e4e-9926-fe506be25e81"
"","","Caliginopsalta","Caliginopsalta Ewart, 2005","CICADIDAE","Caliginopsalta","","","","Valid Name","","Genus","","Ewart","2005","Y","e79810a5-baa2-4dbf-8128-6de517802f86","20250530T00:56:36.273+0000","6b4f3e9d-3cbf-4399-a785-d74398149364","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","6b4f3e9d-3cbf-4399-a785-d74398149364","","","","","","","","","","","","","","",""
"","","Caliginopsalta","Caliginopsalta Ewart, 2005","","Caliginopsalta","","","","Synonym","synonym","Genus","","Ewart","2005","Y","22849153-310d-4d78-93f6-98f58b3e2272","20250530T00:56:36.273+0000","6b4f3e9d-3cbf-4399-a785-d74398149364","20250729T23:16:11.865+0000","","e1be6d10-6027-4a7b-a49a-61f19fabb844","Ewart, A.","2005","New genera and species of small ticking and 'chirping' cicadas (Hemiptera: Cicadoidea: Cicadidae) from Queensland, with descriptions of their songs","439-500","","Memoirs of the Queensland Museum","","","","<!--MARK--><a href='null3166d1ae-8b71-43fe-bb90-7c81ff632069' class='mouseoverHref'>Ewart, A. 2005. New genera and species of small ticking and 'chirping' cicadas (Hemiptera: Cicadoidea: Cicadidae) from Queensland, with descriptions of their songs.</a> <!--MARK--><!--MARK--><a href='null1a0a2982-9f30-43e1-a641-b0379699837c' class='mouseoverHref'><em>Memoirs of the Queensland Museum</em></a> <strong>51</strong>(2): 439-500<!--MARK-->","","Article in Journal","3166d1ae-8b71-43fe-bb90-7c81ff632069","20101222T06:18:29.292+0000","1a0a2982-9f30-43e1-a641-b0379699837c"
"","","percola","Caliginopsalta percola Ewart, 2005","CICADIDAE","Caliginopsalta","","percola","","Valid Name","","Species","","Ewart","2005","Y","03fc9b56-c45e-4f59-895b-140600efe4ab","20250530T00:56:36.273+0000","3c5c5aa2-0816-4f0d-af97-729782dad6b6","20250729T23:16:11.865+0000","6b4f3e9d-3cbf-4399-a785-d74398149364","3c5c5aa2-0816-4f0d-af97-729782dad6b6","","","","","","","","","","","","","","",""
"","","percola","Caliginopsalta percola Ewart, 2005","","Caliginopsalta","","percola","","Synonym","synonym","Species","","Ewart","2005","Y","664220f4-4a9d-4dbc-8593-6ce1f6523fe5","20250530T00:56:36.273+0000","3c5c5aa2-0816-4f0d-af97-729782dad6b6","20250729T23:16:11.865+0000","","840d0cf7-7d4d-44f7-a530-74bd2160001b","Ewart, A.","2005","New genera and species of small ticking and 'chirping' cicadas (Hemiptera: Cicadoidea: Cicadidae) from Queensland, with descriptions of their songs","439-500","","Memoirs of the Queensland Museum","","","","<!--MARK--><a href='null3166d1ae-8b71-43fe-bb90-7c81ff632069' class='mouseoverHref'>Ewart, A. 2005. New genera and species of small ticking and 'chirping' cicadas (Hemiptera: Cicadoidea: Cicadidae) from Queensland, with descriptions of their songs.</a> <!--MARK--><!--MARK--><a href='null1a0a2982-9f30-43e1-a641-b0379699837c' class='mouseoverHref'><em>Memoirs of the Queensland Museum</em></a> <strong>51</strong>(2): 439-500<!--MARK-->","","Article in Journal","3166d1ae-8b71-43fe-bb90-7c81ff632069","20101222T06:18:29.292+0000","1a0a2982-9f30-43e1-a641-b0379699837c"
"","","Calipsalta","Calipsalta Moulds & Marshall, 2022","","Calipsalta","","","","Valid Name","","Genus","","Moulds & Marshall","2022","Y","04c86293-6913-4b3b-87ea-fcae415d3aa0","20250530T00:56:36.273+0000","25fb7a05-2714-4738-8d1e-bd52f6c84966","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","25fb7a05-2714-4738-8d1e-bd52f6c84966","","","","","","","","","","","","","","",""
"","","Calipsalta","Calipsalta Moulds & Marshall, 2022","","Calipsalta","","","","Synonym","synonym","Genus","","Moulds & Marshall","2022","Y","b7e3eb24-11f2-4c3a-8c73-a9e650a9ee67","20250530T00:56:36.273+0000","25fb7a05-2714-4738-8d1e-bd52f6c84966","20250729T23:16:11.865+0000","","76be0e5a-8a54-48ff-a643-69d20964f233","Moulds, M.S. & Marshall, D.C.","2022","New genera and new species of Western Australian cicadas (Hemiptera: Cicadidae)","451-507","","Zootaxa","","","","<!--MARK--><a href='null35799999-b279-4647-bf82-c064d829d5a8' class='mouseoverHref'>Moulds, M.S. & Marshall, D.C. 2022. New genera and new species of Western Australian cicadas (Hemiptera: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>5174</strong>(5): 451-507<!--MARK-->","","Article in Journal","35799999-b279-4647-bf82-c064d829d5a8","20221016T00:32:16.759+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","brunnea","Calipsalta brunnea Moulds & Marshall, 2022","","Calipsalta","","brunnea","","Valid Name","","Species","","Moulds & Marshall","2022","Y","8a97f97a-392e-4117-a695-9bd2853d3e8c","20250530T00:56:36.273+0000","773d8ea5-13a0-4ca2-a3b4-44fbbfe0ad58","20250729T23:16:11.865+0000","25fb7a05-2714-4738-8d1e-bd52f6c84966","773d8ea5-13a0-4ca2-a3b4-44fbbfe0ad58","","","","","","","","","","","","","","",""
"","","brunnea","Calipsalta brunnea Moulds & Marshall, 2022","","Calipsalta","","brunnea","","Synonym","synonym","Species","","Moulds & Marshall","2022","Y","f4fa95be-7526-4d8b-bc5a-aa491b84eb0a","20250530T00:56:36.273+0000","773d8ea5-13a0-4ca2-a3b4-44fbbfe0ad58","20250729T23:16:11.865+0000","","eba18d39-c344-4c07-a674-a685cfec1536","Moulds, M.S. & Marshall, D.C.","2022","New genera and new species of Western Australian cicadas (Hemiptera: Cicadidae)","451-507","","Zootaxa","","","","<!--MARK--><a href='null35799999-b279-4647-bf82-c064d829d5a8' class='mouseoverHref'>Moulds, M.S. & Marshall, D.C. 2022. New genera and new species of Western Australian cicadas (Hemiptera: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>5174</strong>(5): 451-507<!--MARK-->","","Article in Journal","35799999-b279-4647-bf82-c064d829d5a8","20221016T00:32:16.759+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","fumosa","Calipsalta fumosa Moulds & Marshall, 2022","","Calipsalta","","fumosa","","Valid Name","","Species","","Moulds & Marshall","2022","Y","464ef9c1-85e2-4714-92b9-cd999bebbfb0","20250530T00:56:36.273+0000","1d5cbe05-bffd-4fbb-816e-0847b0dd3b87","20250729T23:16:11.865+0000","25fb7a05-2714-4738-8d1e-bd52f6c84966","1d5cbe05-bffd-4fbb-816e-0847b0dd3b87","","","","","","","","","","","","","","",""
"","","fumosa","Calipsalta fumosa Moulds & Marshall, 2022","","Calipsalta","","fumosa","","Synonym","synonym","Species","","Moulds & Marshall","2022","Y","2aa4752e-a8d7-499d-9258-31774404f293","20250530T00:56:36.273+0000","1d5cbe05-bffd-4fbb-816e-0847b0dd3b87","20250729T23:16:11.865+0000","","c6202578-5c00-4a2c-b876-a152ba23076a","Moulds, M.S. & Marshall, D.C.","2022","New genera and new species of Western Australian cicadas (Hemiptera: Cicadidae)","451-507","","Zootaxa","","","","<!--MARK--><a href='null35799999-b279-4647-bf82-c064d829d5a8' class='mouseoverHref'>Moulds, M.S. & Marshall, D.C. 2022. New genera and new species of Western Australian cicadas (Hemiptera: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>5174</strong>(5): 451-507<!--MARK-->","","Article in Journal","35799999-b279-4647-bf82-c064d829d5a8","20221016T00:32:16.759+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","viridans","Calipsalta viridans Moulds & Marshall, 2022","","Calipsalta","","viridans","","Valid Name","","Species","","Moulds & Marshall","2022","Y","dff9b65e-4e57-4706-bdb3-6101ef60a378","20250530T00:56:36.273+0000","7208fa71-224a-4b1f-8ca1-5de1e551a809","20250729T23:16:11.865+0000","25fb7a05-2714-4738-8d1e-bd52f6c84966","7208fa71-224a-4b1f-8ca1-5de1e551a809","","","","","","","","","","","","","","",""
"","","viridans","Calipsalta viridans Moulds & Marshall, 2022","","Calipsalta","","viridans","","Synonym","synonym","Species","","Moulds & Marshall","2022","Y","da6c1868-480e-4e07-b4ba-c3635817f08d","20250530T00:56:36.273+0000","7208fa71-224a-4b1f-8ca1-5de1e551a809","20250729T23:16:11.865+0000","","b7991aa7-b2e6-4725-97fd-12d8425448f4","Moulds, M.S. & Marshall, D.C.","2022","New genera and new species of Western Australian cicadas (Hemiptera: Cicadidae)","451-507","","Zootaxa","","","","<!--MARK--><a href='null35799999-b279-4647-bf82-c064d829d5a8' class='mouseoverHref'>Moulds, M.S. & Marshall, D.C. 2022. New genera and new species of Western Australian cicadas (Hemiptera: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>5174</strong>(5): 451-507<!--MARK-->","","Article in Journal","35799999-b279-4647-bf82-c064d829d5a8","20221016T00:32:16.759+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","Chelapsalta","Chelapsalta Moulds, 2012","CICADIDAE","Chelapsalta","","","","Valid Name","","Genus","","Moulds","2012","Y","e3e420b0-a1ae-43fd-b5b1-84b6d30e5723","20250530T00:56:36.273+0000","eda21f83-bcf5-476c-960d-5e7f392d252d","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","eda21f83-bcf5-476c-960d-5e7f392d252d","","","","","","","","","","","","","","",""
"","","Chelapsalta","Chelapsalta Moulds, 2012","","Chelapsalta","","","","Synonym","synonym","Genus","","Moulds","2012","Y","83f1de7f-3ee4-4c31-8c5d-3602aa327d1e","20250530T00:56:36.273+0000","eda21f83-bcf5-476c-960d-5e7f392d252d","20250729T23:16:11.865+0000","","2ff18655-c757-4dc4-9fdb-df7b9b6414d2","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","myoporae","Chelapsalta myoporae Ewart, Popple & Marshall, 2015","CICADIDAE","Chelapsalta","","myoporae","","Valid Name","","Species","","Ewart, Popple & Marshall","2015","Y","abd08e14-eb3f-4770-bfde-577160fd49ce","20250530T00:56:36.273+0000","8dd442c0-e393-488d-b8dd-dd9b67b67005","20250729T23:16:11.865+0000","eda21f83-bcf5-476c-960d-5e7f392d252d","8dd442c0-e393-488d-b8dd-dd9b67b67005","","","","","","","","","","","","","","",""
"","","myoporae","Chelapsalta myoporae Ewart, Popple & Marshall, 2015","CICADIDAE","Chelapsalta","","myoporae","","Synonym","synonym","Species","","Ewart, Popple & Marshall","2015","Y","eacbf827-5cdb-476f-a1ea-d87c26e55bdf","20250530T00:56:36.273+0000","8dd442c0-e393-488d-b8dd-dd9b67b67005","20250729T23:16:11.865+0000","","1219cdf8-5607-43b6-b21d-76cca1d605bf","Ewart, A., Popple, L.W. & Marshall, D.C.","2015","New species of <i>Simona</i> Moulds, 2012 and <i>Chelapsalta</i> Moulds, 2012 cicadas (Cicadidae: Cicadettinae: Cicadettini) from Australia: comparative morphology, songs, behaviour and distributions","1-65","","Zootaxa","","","","<!--MARK--><a href='nullccbdacbc-802d-484d-8334-a84b9807bf5c' class='mouseoverHref'>Ewart, A., Popple, L.W. & Marshall, D.C. 2015. New species of <i>Simona</i> Moulds, 2012 and <i>Chelapsalta</i> Moulds, 2012 cicadas (Cicadidae: Cicadettinae: Cicadettini) from Australia: comparative morphology, songs, behaviour and distributions.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>4001</strong>: 1-65<!--MARK-->","","Article in Journal","ccbdacbc-802d-484d-8334-a84b9807bf5c","20150906T23:56:08.984+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","puer","Chelapsalta puer (Walker, 1850)","CICADIDAE","Chelapsalta","","puer","","Valid Name","","Species","","Walker","1850","N","acf75a6e-ccf3-44c6-9dcc-8e67379fbcf2","20250530T00:56:36.273+0000","c465b3cd-78c9-409b-8aa9-c4c2823324b6","20250729T23:16:11.865+0000","eda21f83-bcf5-476c-960d-5e7f392d252d","c465b3cd-78c9-409b-8aa9-c4c2823324b6","","","","","","","","","","","","","","",""
"","","puer","Cicada puer Walker, 1850","","Cicada","","puer","","Synonym","synonym","Species","","Walker","1850","Y","c97516ed-0ef2-461d-8717-4b5669f5961e","20250530T00:56:36.273+0000","c465b3cd-78c9-409b-8aa9-c4c2823324b6","20250729T23:16:11.865+0000","","c29c48cd-e779-4e5f-8948-f8e1597cb371","Walker, F.","1850","List of the specimens of homopterous insects in the collection of the British Museum. Part 1","pp.1-260","","","","","British Museum","<!--MARK--><a href='null2ad56a79-3b57-4f34-bea0-14037cb26ed8' class='mouseoverHref'>Walker, F. 1850. <em>List of the specimens of homopterous insects in the collection of the British Museum. Part 1</em>. London : British Museum pp.1-260.</a><!--MARK-->","","Book","2ad56a79-3b57-4f34-bea0-14037cb26ed8","20120626T01:33:52.699+0000",""
"","","puer","Chelapsalta puer (Walker, 1850)","","Chelapsalta","","puer","","Generic Combination","","Species","","Walker","1850","N","e33cef90-3727-43cf-b75f-de25449e180f","20250530T00:56:36.273+0000","c465b3cd-78c9-409b-8aa9-c4c2823324b6","20250729T23:16:11.865+0000","","1100f0ed-51e0-4326-9ea9-07cc93753d57","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","puer","Cicadetta puer (Walker, 1850)","","Cicadetta","","puer","","Generic Combination","","Species","","Walker","1850","N","f3416e37-7177-4758-bf9d-f27774461cfa","20250530T00:56:36.273+0000","c465b3cd-78c9-409b-8aa9-c4c2823324b6","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","Clinata","Clinata Moulds, 2012","CICADIDAE","Clinata","","","","Valid Name","","Genus","","Moulds","2012","Y","c15a5bdf-e02f-44fc-824e-c63d250698f9","20250530T00:56:36.273+0000","b2273b9a-805c-475b-b93a-8d380b76cc98","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","b2273b9a-805c-475b-b93a-8d380b76cc98","","","","","","","","","","","","","","",""
